Beam Size, Lenpen, WER
128,-10.0,61.149773071104384
128,-9.9,61.12960161371659
128,-9.8,61.12960161371659
128,-9.7,61.12960161371659
128,-9.6,61.11951588502269
128,-9.5,61.10943015632879
128,-9.4,61.10943015632879
128,-9.3,61.10943015632879
128,-9.2,61.0590015128593
128,-9.1,61.0590015128593
128,-9.0,61.0590015128593
128,-8.9,61.03883005547151
128,-8.8,61.03883005547151
128,-8.7,61.01865859808371
128,-8.6,61.008572869389816
128,-8.5,60.98840141200202
128,-8.4,60.98840141200202
128,-8.3,60.94805849722643
128,-8.2,60.92788703983863
128,-8.1,60.877458396369136
128,-8.0,60.83711548159354
128,-7.9,60.81694402420575
128,-7.8,60.77660110943015
128,-7.7,60.75642965204236
128,-7.6,60.695915279878975
128,-7.5,60.67574382249118
128,-7.4,60.65557236510338
128,-7.3,60.59505799293999
128,-7.2,60.5748865355522
128,-7.1,60.56480080685829
128,-7.0,60.56480080685829
128,-6.9,60.5547150781644
128,-6.8,60.5446293494705
128,-6.7,60.5244578920827
128,-6.6,60.48411497730711
128,-6.5,60.44377206253152
128,-6.4,60.33282904689864
128,-6.3,60.292486132123045
128,-6.2,60.292486132123045
128,-6.1,60.26222894604136
128,-6.0,60.13111447302067
128,-5.9,60.06051437216339
128,-5.8,60.05042864346949
128,-5.7,60.04034291477559
128,-5.6,59.989914271306105
128,-5.5,59.96974281391831
128,-5.4,59.93948562783661
128,-5.3,59.93948562783661
128,-5.2,59.87897125567322
128,-5.1,59.84871406959153
128,-5.0,59.80837115481594
128,-4.9,59.69742813918305
128,-4.8,59.56631366616238
128,-4.7,59.4755421079173
128,-4.6,59.38477054967221
128,-4.5,59.26374180534544
128,-4.4,59.20322743318205
128,-4.3,59.19314170448815
128,-4.2,59.15279878971256
128,-4.1,59.122541603630864
128,-4.0,59.05194150277357
128,-3.9,58.95108421583459
128,-3.8,58.75945537065053
128,-3.7,58.69894099848714
128,-3.6,58.61825516893595
128,-3.5,58.48714069591528
128,-3.4,58.23499747856783
128,-3.3,58.06354009077156
128,-3.2,57.8315683308119
128,-3.1,57.66011094301563
128,-3.0,57.62985375693394
128,-2.9,57.549167927382754
128,-2.8,57.47856782652546
128,-2.7,57.45839636913767
128,-2.6,57.2667675239536
128,-2.5,57.07513867876954
128,-2.4,56.70196671709531
128,-2.3,56.42965204236006
128,-2.2,56.318709026727184
128,-2.1,56.14725163893091
128,-2.0,55.96570852244075
128,-1.9,55.6530509329299
128,-1.8,55.1588502269289
128,-1.7,54.94704992435703
128,-1.6,54.65456379223399
128,-1.5,54.130105900151285
128,-1.4,53.91830559757943
128,-1.3,53.37367624810893
128,-1.2,52.96016137165911
128,-1.1,52.22390317700454
128,-1.0,51.63893091275845
128,-0.9,50.55975794251135
128,-0.8,49.62178517397882
128,-0.7,48.06858295511851
128,-0.6,44.64952092788704
128,-0.5,42.05748865355522
128,-0.4,37.23651033787191
128,-0.3,33.79727685325265
128,-0.2,27.544125063035803
128,-0.1,20.42360060514372
128,0.0,16.238023197175995
128,0.1,13.716591023701463
128,0.2,12.153303076147251
128,0.3,12.10287443267776
128,0.4,12.112960161371658
128,0.5,12.133131618759457
128,0.6,12.133131618759457
128,0.7,12.133131618759457
128,0.8,12.112960161371658
128,0.9,12.133131618759457
128,1.0,12.153303076147251
128,1.1,12.153303076147251
128,1.2,12.112960161371658
128,1.3,12.072617246596067
128,1.4,12.062531517902167
128,1.5,12.112960161371658
128,1.6,12.133131618759457
128,1.7,12.153303076147251
128,1.8,12.153303076147251
128,1.9,12.173474533535048
128,2.0,12.21381744831064
128,2.1,12.203731719616744
128,2.2,12.21381744831064
128,2.3,12.244074634392335
128,2.4,12.22390317700454
128,2.5,12.21381744831064
128,2.6,12.22390317700454
128,2.7,12.233988905698435
128,2.8,12.22390317700454
128,2.9,12.233988905698435
128,3.0,12.264246091780132
128,3.1,12.274331820474028
128,3.2,12.284417549167928
128,3.3,12.264246091780132
128,3.4,12.294503277861825
128,3.5,12.344931921331316
128,3.6,12.385274836106907
128,3.7,12.385274836106907
128,3.8,12.37518910741301
128,3.9,12.405446293494704
128,4.0,12.405446293494704
128,4.1,12.405446293494704
128,4.2,12.425617750882502
128,4.3,12.395360564800807
128,4.4,12.425617750882502
128,4.5,12.405446293494704
128,4.6,12.395360564800807
128,4.7,12.395360564800807
128,4.8,12.4357034795764
128,4.9,12.455874936964197
128,5.0,12.465960665658091
128,5.1,12.476046394351991
128,5.2,12.53656076651538
128,5.3,12.53656076651538
128,5.4,12.566817952597075
128,5.5,12.586989409984872
128,5.6,12.607160867372668
128,5.7,12.586989409984872
128,5.8,12.566817952597075
128,5.9,12.576903681290974
128,6.0,12.607160867372668
128,6.1,12.63741805345436
128,6.2,12.63741805345436
128,6.3,12.64750378214826
128,6.4,12.64750378214826
128,6.5,12.657589510842158
128,6.6,12.667675239536056
128,6.7,12.677760968229954
128,6.8,12.677760968229954
128,6.9,12.667675239536056
128,7.0,12.687846696923852
128,7.1,12.718103883005549
128,7.2,12.728189611699444
128,7.3,12.728189611699444
128,7.4,12.778618255168936
128,7.5,12.768532526475038
128,7.6,12.788703983862836
128,7.7,12.808875441250631
128,7.8,12.808875441250631
128,7.9,12.849218356026222
128,8.0,12.86938981341402
128,8.1,12.889561270801815
128,8.2,12.929904185577408
128,8.3,12.939989914271306
128,8.4,12.939989914271306
128,8.5,12.939989914271306
128,8.6,12.939989914271306
128,8.7,12.960161371659105
128,8.8,12.970247100353
128,8.9,12.990418557740798
128,9.0,12.9803328290469
128,9.1,12.960161371659105
128,9.2,12.960161371659105
128,9.3,12.970247100353
128,9.4,12.970247100353
128,9.5,12.9803328290469
128,9.6,12.9803328290469
128,9.7,12.970247100353
128,9.8,12.9803328290469
128,9.9,13.010590015128592
128,10.0,13.02067574382249
101,3.6,12.385274836106907
101,3.7,12.385274836106907
101,3.8,12.37518910741301
101,3.9,12.405446293494704
101,4.0,12.405446293494704
101,4.1,12.405446293494704
101,4.2,12.4357034795764
101,4.3,12.405446293494704
101,4.4,12.4357034795764
101,4.5,12.415532022188604
101,4.6,12.405446293494704
101,4.7,12.405446293494704
101,4.8,12.445789208270298
101,4.9,12.465960665658091
101,5.0,12.496217851739788
101,5.1,12.506303580433686
101,5.2,12.54664649520928
